# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	126941
#@/user_id	ca62f353-43e6-488d-90b6-9dde39353ca4
a 	啊	c=89 d=7.44404 t=126941
bèn 	笨	c=1 d=0.755784 t=126941
bì 	毕	c=1 d=0.740818 t=126941
bì bèi 	必备	c=1 d=0.687289 t=126941
bì diào 	必掉	c=1 d=0.744532 t=126941
bì dìng huì 	必定会	c=1 d=0.70822 t=126941
bì huán 	闭环	c=1 d=0.588605 t=126941
bì jìng 	毕竟	c=4 d=1.14449 t=126941
bì kāi 	避开	c=1 d=0.202909 t=126941
bì lěi 	壁垒	c=0 d=0.0557106 t=126941
bì lī bì lī 	哔哩哔哩	c=3 d=1.72991 t=126941
bì miǎn 	避免	c=5 d=1.56093 t=126941
bì mǎi 	必买	c=1 d=0.557106 t=126941
bì shuì 	避税	c=1 d=0.936017 t=126941
bì shè 	毕设	c=1 d=0.571209 t=126941
bì shān 	璧山	c=1 d=1 t=126941
bì tián 	必填	c=2 d=1.28136 t=126941
bì xuǎn 	必选	c=1 d=0.677057 t=126941
bì xū 	必须	c=43 d=5.1097 t=126941
bì xū shì 	必须是	c=2 d=0.985112 t=126941
bì xū xiàng 	必需项	c=1 d=0.790571 t=126941
bì xū yào 	必须要	c=2 d=1.16614 t=126941
bì xū zài 	必须在	c=1 d=0.767206 t=126941
bì yào 	必要	c=12 d=2.55117 t=126941
bì yào de 	必要的	c=1 d=0.97531 t=126941
bì yào shí 	必要时	c=2 d=0.931615 t=126941
bì yào xìng 	必要性	c=4 d=1.81525 t=126941
bì yè 	毕业	c=6 d=2.12945 t=126941
bì yè le 	毕业了	c=1 d=0.918512 t=126941
bì zhàng 	避障	c=9 d=2.67298 t=126941
bì é sī 	庇俄斯	c=0 d=0.0697676 t=126941
bì é sī nà hěn 	庇俄斯那很	c=1 d=0.701173 t=126941
bìng 	并	c=129 d=6.98527 t=126941
bìng bù 	并不	c=1 d=0.744532 t=126941
bìng bù hǎo 	并不好	c=1 d=0.909373 t=126941
bìng bù néng 	并不能	c=1 d=0.960789 t=126941
bìng bù shú xī 	并不熟悉	c=1 d=0.644036 t=126941
bìng bú huì 	并不会	c=1 d=0.932394 t=126941
bìng bú shì 	并不是	c=5 d=1.24743 t=126941
bìng būn 	并兺	c=1 d=0.951229 t=126941
bìng bǎ 	并把	c=3 d=1.93182 t=126941
bìng chóng xīn 	并重新	c=1 d=0.806541 t=126941
bìng dá dào 	并达到	c=1 d=0.57695 t=126941
bìng dú 	病毒	c=10 d=5.12786 t=126941
bìng dú cè shì 	病毒测试	c=1 d=0.701173 t=126941
bìng fā 	并发	c=1 d=0.866309 t=126941
bìng fā yòng hù 	并发用户	c=1 d=0.494109 t=126941
bìng fā zhèng 	并发症	c=1 d=0.67368 t=126941
bìng fēi 	并非	c=5 d=1.66549 t=126941
bìng fēi shì 	并非是	c=1 d=0.442639 t=126941
bìng gào sù wǒ 	并告诉我	c=1 d=0.650509 t=126941
bìng gào zhī 	并告知	c=2 d=1.52436 t=126941
bìng gào zhī wǒ 	并告知我	c=2 d=1.2025 t=126941
bìng gěi chū 	并给出	c=1 d=0.66034 t=126941
bìng huò qǔ 	并获取	c=1 d=0.97531 t=126941
bìng jiāng 	并将	c=1 d=0.843665 t=126941
bìng jiāng qí 	并将其	c=1 d=0.440432 t=126941
bìng kě yǐ 	并可以	c=1 d=0.209088 t=126941
bìng méi yǒu 	并没有	c=31 d=5.14289 t=126941
bìng néng 	并能	c=1 d=0.831104 t=126941
bìng pái 	并排	c=1 d=0.559898 t=126941
bìng qiě 	并且	c=42 d=3.6174 t=126941
bìng qiě jiāng 	并且将	c=1 d=0.927743 t=126941
bìng tí shì 	并提示	c=1 d=0.382893 t=126941
bìng wèi 	并未	c=5 d=2.5765 t=126941
bìng xíng 	并行	c=2 d=0.88692 t=126941
bìng zài 	并在	c=10 d=2.61178 t=126941
bó 	博	c=15 d=3.60644 t=126941
bó gé 	博格	c=7 d=2.62349 t=126941
bó huí 	驳回	c=1 d=0.774916 t=126941
bó jīn 	铂金	c=2 d=1.79976 t=126941
bó jīn huì yuán 	铂金会员	c=2 d=0.96319 t=126941
bó kè 	博客	c=22 d=3.27365 t=126941
bó lái 	舶来	c=0 d=0.0904837 t=126941
bó lái cí 	舶来词	c=2 d=1.82789 t=126941
bó lè 	伯乐	c=1 d=0.798516 t=126941
bó ruò 	薄弱	c=1 d=0.878095 t=126941
bó yì 	博弈	c=1 d=0.173774 t=126941
bó zhǔ 	博主	c=3 d=2.08807 t=126941
bó zi 	脖子	c=2 d=1.61566 t=126941
bó zi tòng 	脖子痛	c=1 d=0.763379 t=126941
bù 	不	c=117 d=9.63836 t=126941
bù bāo hán 	不包含	c=1 d=0.557106 t=126941
bù bāo kuò 	不包括	c=1 d=0.275271 t=126941
bù bēi bú kàng 	不卑不亢	c=1 d=0.637628 t=126941
bù bō 	不播	c=1 d=0.856415 t=126941
bù chuàng jiàn 	不创建	c=1 d=0.985112 t=126941
bù chuán 	不传	c=1 d=1 t=126941
bù chá zhèng 	不查证	c=1 d=0.980199 t=126941
bù cháng 	不常	c=1 d=0.88692 t=126941
bù cháng 	步长	c=1 d=0.937067 t=126941
bù cháng jiàn 	不常见	c=1 d=0.115325 t=126941
bù chóu 	不愁	c=1 d=0.865022 t=126941
bù chāo 	不超	c=1 d=0.847894 t=126941
bù chāo guò 	不超过	c=2 d=1.18376 t=126941
bù chī 	不吃	c=2 d=1.38646 t=126941
bù chī fàn 	不吃饭	c=0 d=0.099005 t=126941
bù chī là 	不吃辣	c=1 d=0.99005 t=126941
bù chī zǎo cān 	不吃早餐	c=1 d=0.683861 t=126941
bù chōng tū 	不冲突	c=1 d=0.726149 t=126941
bù chū 	不出	c=2 d=1.86004 t=126941
bù chū lái 	不出来	c=2 d=1.52339 t=126941
bù chū wèn tí 	不出问题	c=1 d=0.615697 t=126941
bù chū yì wài 	不出意外	c=1 d=0.522046 t=126941
bù chǔ lǐ 	不处理	c=1 d=0.814647 t=126941
bù cóng 	不从	c=1 d=0.694197 t=126941
bù cún zài 	不存在	c=9 d=2.78443 t=126941
bù cǎi gòu 	不采购	c=2 d=1.7744 t=126941
bù duō 	不多	c=3 d=1.12128 t=126941
bù dé 	不得	c=4 d=2.27058 t=126941
bù dé bù 	不得不	c=1 d=0.715338 t=126941
bù dé rù nèi 	不得入内	c=1 d=0.826959 t=126941
bù dān xīn 	不担心	c=2 d=1.92275 t=126941
bù dāng 	不当	c=1 d=0.600496 t=126941
bù dēng lù 	不登录	c=1 d=0.83527 t=126941
bù děi 	不得	c=4 d=2.10771 t=126941
bù děng yú 	不等于	c=1 d=0.99005 t=126941
bù dǎ suàn 	不打算	c=4 d=1.54552 t=126941
bù dǎo rù 	不导入	c=1 d=0.755784 t=126941
bù dǒng 	不懂	c=17 d=3.6621 t=126941
bù dǒng guī ju 	不懂规矩	c=1 d=0.331211 t=126941
bù dǒng jiù wèn 	不懂就问	c=1 d=0.431711 t=126941
bù dǒng shì 	不懂事	c=1 d=0.831104 t=126941
bù fáng 	不防	c=2 d=1.11117 t=126941
bù fèn 	部分	c=86 d=7.00132 t=126941
bù fú hé 	不符合	c=7 d=1.76663 t=126941
bù fā 	不发	c=2 d=1.48582 t=126941
bù fāng biàn 	不方便	c=8 d=3.46616 t=126941
bù fēn 	不分	c=1 d=0.970446 t=126941
bù fēng 	不封	c=1 d=0.594521 t=126941
bù guān 	不关	c=1 d=0.301194 t=126941
bù guān bì 	不关闭	c=1 d=0.644036 t=126941
bù guān jī 	不关机	c=1 d=0.826959 t=126941
bù guǎn 	不管	c=6 d=1.17441 t=126941
bù guǎn le 	不管了	c=4 d=2.72958 t=126941
bù guǎn zěn me yàng 	不管怎么样	c=1 d=0.847894 t=126941
bù gāi 	不该	c=5 d=2.06636 t=126941
bù gāi zài 	不该在	c=1 d=0.927743 t=126941
bù gān 	不干	c=1 d=0.540641 t=126941
bù gēn tā 	不跟他	c=1 d=0.687289 t=126941
bù gěi 	不给	c=1 d=0.733447 t=126941
bù gěi kàn 	不给看	c=1 d=0.904837 t=126941
bù gěi nǐ 	不给你	c=0 d=0.0923116 t=126941
bù gěi nǐ zhè ge 	不给你这个	c=1 d=0.927743 t=126941
bù gōng kāi 	不公开	c=2 d=1.43362 t=126941
bù gǎi 	不改	c=1 d=0.83527 t=126941
bù gǎi le 	不改了	c=1 d=0.937067 t=126941
bù gǎn 	不敢	c=3 d=2.10891 t=126941
bù gǎn dòng 	不敢动	c=0 d=0.0904837 t=126941
bù gǎn yòng 	不敢用	c=1 d=0.348192 t=126941
bù gǎo qīng chǔ 	不搞清楚	c=1 d=0.831104 t=126941
bù huán 	不还	c=1 d=0.882497 t=126941
bù huáng duō ràng 	不遑多让	c=1 d=0.97531 t=126941
bù hé lǐ 	不合理	c=1 d=0.852144 t=126941
bù hé xié 	不和谐	c=1 d=0.603506 t=126941
bù hǎo 	不好	c=9 d=2.633 t=126941
bù hǎo gǎo 	不好搞	c=1 d=0.612626 t=126941
bù hǎo kàn 	不好看	c=4 d=1.99231 t=126941
bù hǎo nòng 	不好弄	c=1 d=0.955997 t=126941
